Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
21987.8, 3.92, 10.25, 7.9, 6.05, 7.902, 9.7, 36, 23, 11.5
1731.82, 18.85, 21.36, 9.63, 6.29, 9.63, 9.7, 64, 35.8, 17.9
11344, 11.31, 72.86, 16.94, 6.32, 16.94, 9.7, 31, 16.5, 8.3
25660.9, 4.35, -12.04, 26.52, 6.11, 26.518, 9.8, 26, 27.5, 13.8
36883.3, 7.47, -11.23, 25.92, 6.92, 25.912, 9.8, 36, 37.1, 18.6
19992.3, 2.91, -4.85, 26.75, 6.02, 26.748, 9.8, 35, 30.2, 15.1
19799.6, 3.18, 6.22, 11.1, 6.25, 11.102, 9.8, 32, 22, 11
27000.8, 1.67, 8.32, 10.11, 6.75, 10.108, 9.8, 36, 23.9, 12
11414.2, 1.05, 12.25, 14.99, 6.49, 14.99, 9.8, 36, 22.6, 11.3
1407.65, 8.42, 24.41, 16.74, 6.11, 16.75, 9.8, 31, 17.1, 8.5
7134.13, 9.4, 67.94, 9.35, 6.12, 9.35, 9.8, 34, 17.7, 8.9
12479.5, 21.83, 20.46, 17.88, 6.05, 18.88, 9.9, 42, 24.2, 12.1
8615.93, 12.24, -10.31, 19.54, 6.12, 19.54, 10, 30, 30.7, 15.3
27962.3, 17.61, -10.31, 13.34, 6, 13.342, 10, 69, 70.6, 35.3
13139.3, 10.95, -8.94, 6.63, 6.14, 6.63, 10, 24, 23.6, 11.8
45365, 19.96, -7.57, 23.83, 6.14, 23.828, 10, 51, 48.2, 24.1
23207.6, 3.74, -6.82, 15.54, 6.05, 15.54, 10, 25, 23.1, 11.6
37762.6, 8.11, 3.55, 12.56, 6.14, 12.552, 10, 26, 19.1, 9.6
3820.24, 22.75, 4.59, 15.47, 6.25, 15.472, 10, 36, 26, 13
14054.6, 11.59, 6.31, 4.84, 7.82, 4.846, 10, 27, 18.9, 9.5
22426, 3.98, 6.68, 12, 6.07, 12.004, 10, 34, 23.7, 11.8
43315.3, 9.78, 7.22, 7.12, 6.23, 7.12, 10, 24, 16.6, 8.3
6720.27, 23.75, 12.25, 15.28, 6.11, 15.28, 10, 34, 21.8, 10.9
14452.9, 1.96, 15.08, 17.57, 6.32, 17.57, 10, 41, 25.3, 12.7
29070.2, 18.99, 17.03, 12.58, 6.48, 12.58, 10, 90, 54.3, 27.2
9607.55, 13.58, 17.5, 18.98, 6.15, 18.978, 10, 46, 27.6, 13.8
6928.55, 12.84, 18.42, 10.41, 6.07, 10.418, 10, 48, 28.5, 14.3
8941.61, 9.17, 20.11, 20.51, 6.19, 20.51, 10, 22, 12.9, 6.4
31155.6, 3.02, 20.46, 16.94, 6.56, 16.94, 10, 41, 23.9, 11.9
28597.6, 2.38, 21.8, 12.41, 6.21, 12.41, 10, 39, 22.4, 11.2
33096.6, 3.82, 28.14, 9.62, 6.22, 9.622, 10, 42, 22.9, 11.5
28299.5, 2.56, 28.92, 6.89, 6.03, 6.892, 10, 44, 23.9, 11.9
3545.87, 19.68, 29.75, 10.26, 6.34, 20.26, 10, 82, 44.3, 22.1
33345.6, 4.09, 32.17, 6.45, 6.47, 6.452, 10, 44, 23.4, 11.7
19689.1, 0.43, 35.31, 4.15, 6.39, 4.156, 10, 44, 23, 11.5
4243.48, 20.14, 35.72, 14.08, 7.95, 14.078, 10, 85, 44.4, 22.2
43861.4, 6.52, 40.41, 15.85, 6.21, 15.85, 10, 50, 25.7, 12.8
